sensor_name;measured_variable;sensor_ref_doc;sensor_producer;sensor_added_infos;sensor_label;measurement_principle;measurement_technique
Tipping Bucket Rain Gauge HOBO;precipitation, temperatur;https://www.hobodataloggers.com.au/Attachment/DownloadFile?downloadId=2060;HOBO logging;;HOBO-rain-gauge;;
HT785;air temperatur, humidity;http://www.sensordata.nl/wp-content/uploads/2017/02/Manual_785.pdf;Sensor Data bv;;bv-HT785;;
HygroClip 2 (HC2);air temperatur, humidity;https://www.rotronic.com/pub/media/productattachments/files/E-M-HC2_Probes-V1_39_1.pdf;Rotronic AG / Vaisala;;Rotronic-Hygroclip2;;
IRTS;temperatur;https://s.campbellsci.com/documents/us/manuals/irts.pdf;Campbell Scientific;infrared sensor;Campbell-IRTS;;
Ultrasonic Snow Depth Sensor;snow depth;http://juddcom.com/;Judd Communications LLC;;Judd-ultrasonic;;
Tipping Bucket Rain Gauge LAMBRECHT;precipitation;https://www.lambrecht.net/upload/manuals/15189_Manual.pdf;LAMBRECHT meteo GmbH;;Lambrecht-rain-gauge;;
Temperatur sensor;air temperature;;LI-COR;;LICOR-temp;;
LVDSC12;soil moisture;;Xin Lvyuan Co Ltd;;XL-LVDSC12;;
LVDWZ31;soil temperature;;Xin Lvyuan Co Ltd;;XL-LVDWZ31;;
LVQSZ33;air temperature;;Xin Lvyuan Co Ltd;;XL-LVQSZ33;;
LVYLC02;precipitation;;Xin Lvyuan Co Ltd;;XL-LVYLC02;;
Rain gauge;precipitation;Met One;;;MetOne-rain-gauge;;
Model;;;;;Model;;
MP100A;air temperatur, humidity;https://s.campbellsci.com/documents/de/product-brochures/mp100a_mar09.pdf;Campbell Scientific;;Campbell-MP100A;;
NOAH;precipitation;https://www.etisensors.com/noah-gauges;ETI Instrument Systems, Inc.;;ETI-rain-gauge;;
Tipping Bucket 260-2500 E-12;precipitation;https://novalynx.com/manuals/260-2500-manual.pdf;NovaLynx Corporation;;NovaLynx-rain-gauge;;
no sensor specified;no sensor specified;no sensor specified;no sensor specified;no sensor specified;not-specified;;
OTT Pluvio2 S;precipitation;https://images.otthydromet.com/asset-get.download.jsa?code=1264592;OTT Hydromet;;OTT-Pluvio2S;;
OTT Pluvio2 S amount;precipitation - Amount;https://images.otthydromet.com/asset-get.download.jsa?code=1264592;OTT Hydromet;same sensor - different parameter;OTT-Pluvio2S-amount;;
OTT Pluvio2 S volume;precipitation  - Volume;https://images.otthydromet.com/asset-get.download.jsa?code=1264592;OTT Hydromet;;OTT-Pluvio2S-volume;;
pF-Meter;;;;;pF-meter;;
PT1000;temperature;https://www.ncei.noaa.gov/pub/data/uscrn/documentation/site/sensors/airtemperature/Descriptions/AirTemp_ThermometricsPT1000PRT.pdf;Thermometrics Corporation;;TC-PT1000;;
PMB2;precipitation;https://www.cae.it/upload/products/pdf/pmb2/Rain_Gauge_PMB2.pdf;CAE;;CAE-rain-gauge;;
PT 100;air temperature;https://www.pentronic.se/wp-content/uploads/2019/05/09-4-new-standard-for-pt100-sensors-is-an-update-to-todays-reality.pdf;Pentronic;;Pentronic-PT100;;
Pulse Count;;;;;Pulse-count;;
PULSIA-7M3;;;;;PULSIA-7M3;;
PWD22;precipitation;https://docs.vaisala.com/v/u/B210385EN-F/en-US;Vaisala;scatterometer, also precipitation type;Vaisala-PWD22;;
QMR102;precipitation;https://www.vaisala.com/sites/default/files/documents/QMR101-QMR101M-Datasheet-B211713EN.pdf;Vaisala;;Vaisala-QMR102;;
QMT103;soil temperature;https://docs.vaisala.com/v/u/B211080EN-E/en-US;Vaisala;;Vaisala-QMR103;;
Raincap Weather Transmitter WXT510;precipitation;https://www.vaisala.com/sites/default/files/documents/WXT510_User_Guide_in_English.pdf;Vaisala;;Vaisala-WXT510;;
Rain Gauge RG2;precipitation;https://delta-t.co.uk/wp-content/uploads/2016/10/RG2-Raingauge-Sensor-UM.pdf;Delta-T Devices;;DeltaT-RG2;;
